Date	Time	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	Ambient Temp.	FC Low	Humidity Heater Temp.	BT Pressure	FC Heater Temp.	FC High	Blow tube Heater Temp.	Blow Tube Flow Temp.	FC Ambient Temp.	LS000188 FC	LS000190 FC	LS000193 FC	LS000190 AMB	LS000193 AMB	LS000188 AMB
5/10/2013	20:49:52.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.894047	29.916082	30.022621	29.960121	30.152029	30.401752
5/10/2013	20:50:12.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	113	1	115	15	114	113	53	53	0	112	1	114	6	111	113	53	52	0	114	1	113	7	112	113	53	53	0	114	1	114	7	113	113	53	29.876591	29.898626	29.998737	29.988586	30.148352	30.403585
5/10/2013	20:50:19.81	52	0	113	1	113	6	113	112	53	53	0	114	1	115	7	112	114	54	53	0	111	1	114	8	110	112	52	53	0	110	1	113	7	106	112	53	52	0	110	1	113	7	102	112	53	53	0	110	1	113	6	102	112	53	29.899555	29.911491	30.024454	30.013382	30.195181	30.437551
5/10/2013	20:50:21.50	52	19	107	79	113	6	108	111	53	53	19	108	85	115	7	98	113	54	53	19	109	79	114	7	105	112	52	52	19	106	78	113	6	98	112	52	52	19	103	73	112	7	90	111	53	53	24	103	65	113	6	91	112	53	29.896801	29.916082	30.022621	30.019806	30.192423	30.442141
5/10/2013	20:50:23.21	52	19	101	79	113	6	101	111	53	53	19	101	85	115	7	87	112	54	53	19	103	79	114	7	93	111	52	52	20	100	78	113	6	89	112	52	52	18	97	73	112	7	81	110	53	53	24	97	65	113	7	83	112	53	29.894962	29.927103	30.028128	30.032661	30.209867	30.444895
5/10/2013	20:50:24.89	52	19	94	78	112	6	97	110	53	53	19	95	85	115	7	79	111	54	53	19	97	79	114	7	84	111	52	52	19	94	77	113	6	82	111	52	52	18	91	74	112	7	74	110	53	53	24	91	64	113	7	77	112	53	29.903229	29.909657	30.013435	30.027155	30.214458	30.447647
5/10/2013	20:50:26.58	52	19	88	78	112	6	92	109	53	53	18	89	85	115	7	74	109	54	53	18	92	79	114	7	78	109	52	52	19	88	78	113	6	77	111	52	52	18	85	74	112	7	69	109	53	53	24	86	64	113	7	72	111	53	29.870159	29.892199	30.008837	30.036339	30.220886	30.482529
5/10/2013	20:50:28.26	52	20	82	78	112	6	88	107	53	53	18	84	85	115	7	70	107	54	53	19	87	79	114	7	73	109	52	52	19	83	78	113	6	73	110	52	52	18	80	73	112	7	66	108	53	53	24	81	64	113	7	69	110	53	29.876591	29.905056	30.008837	30.047359	30.245672	30.493540
5/10/2013	20:50:29.93	52	18	77	78	112	6	84	106	53	53	17	79	86	115	7	67	105	54	53	17	82	79	114	7	70	108	52	52	19	79	78	113	6	70	109	52	52	18	75	74	112	6	63	107	53	53	25	77	65	113	7	66	110	53	29.875679	29.925266	30.016190	30.061129	30.244755	30.512815
5/10/2013	20:50:31.62	52	19	72	78	112	6	80	104	53	53	18	74	85	115	7	65	105	54	53	17	77	79	114	7	67	106	52	52	20	75	78	113	6	67	108	52	52	17	71	73	112	6	60	106	53	53	25	73	64	113	7	64	109	53	29.894962	29.913328	30.022621	30.087755	30.279636	30.528418
